NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A50A,A3Ar_w,A50B,A4A_new_w,A5_2015,A6,A7,A7A,A11,A8_2021,AM21,X3,A9,A40,A10,A10A,A21_2015,A14,A41,J1,J2,J3,J4,J40,J5,J6,J8,J9,J10,J20,J50,J51_1,J51_2,J51_3,J51_4,J51_5,J51_6,J51_98,J51_99,J52,J32,J33_40,J53,J41_1,J41_2,J41_3,J42_1,J42_2,J43,B1,B2,B4,B41_1,B41_2,B31,B42,B43,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,B14,EA_1,E7,E8,E20,E15_2015,P50,P51,P52,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,G1,G20,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G33,G35,G22_2015,G25_1,G25_2,G25_3,G25_4,G25_5,G38,G23,H1,H30_1,H30_2,H30_3,M1_1,M1_2,M4,M20,M21_1,M21_2_2015,M21_3,M21_4,M6,M7,M8,M31,M50,M9,M10,wgt_n2,wgt_d2,wgt_s3
2021010031,49,5,3,2,6,12,1,2,1,2,1,5,4,3,1,8,2,8,2,2,2,2,7,2,1,3,1,1, , ,98,2,2,1,1,0,1,0,0,0,0,0,2,4,5,3,1,2,3,3,3,4,1,1,2,1,1,3,3,3,2, , ,2, , , ,2,1,2,2, , ,2,2,1,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,2,1,2,2,2,7,7,6,3, , , , ,1,3,1,2,1,1,98,1.22670932,0.278583532,1.149964831
2021010032,34,5,3,1,6,6,1,2,1,2,1,1,3,3,1,8,2,8,2,2,1,2,10,2,1,3,1,1,1, ,1,2,1,1,0,0,1,1,0,0,0,0,2,5,1,4,1,1,1,5,1,4,1,1,2,1,1,3,3,3,1,3,1,1,2,2,2,1,1,2,2, , ,2,2,1,3,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,2,2,7,7,7,3, , , , ,3,3,2,4,1,1,2,1.281741582,1.494538345,1.149091149
2021010033,34,5,3,2,5,11,1,4,1,2,1,1,3,3,1,2,2,2,1,2,3,3,6,5,3,2,1,2,2,1, ,2,3,1,1,0,0,0,0,0,0,0,2,5,5,5,5,5,5,2,4,2,1,1,1,3,3,2,2,3,1,3,2,2, , , ,2,1,2,1,2, ,2,2,1,2,2,1,1,2,2,2,2,1,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,4,1,2,2,2,5,4,4,3, , , , ,98,98,98,98,98,1,98,1.22670932,1.520551245,1.111481448
2021010034,10,5,3,2,1,7,1,4,2,4,3,6,6,2,1,5,1, ,1, , ,3,9,10,1,3,3,2, ,1, ,2,2,1,0,0,1,0,0,0,0,0,2,5,6,3,3,1,1,5,2,4,1,2,2,2,1,2,2,2,2, , ,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,2,2,6,5,5,3, , , , ,98,98,2,3,3,98,1,1.033049003,2.47288106,0.779299665
2021010035,19,7,3,2,4,10,2,5,2,4,3,5,2,3,1,7,2, ,1,2, ,4,1,5,3,1,1,2, ,2, ,2,3,1,1,0,0,0,0,0,0,0,2,98,2,4,1,5,5,1,2,3,2,2, , , ,3,3,3,2, , ,2, , , , ,2, , , , ,2,2,2,7, , , , , , ,2,2,1,0,0,0,0,0,0,0,2,1,1,1,3,1,5,1,1,7,1,2,2,2,4,6,4,98, , , , ,2,2,4,98,98,1,1,1.529325223,0.527983618,1.419316941
2021010036,44,7,3,2,6,12,1,7,1,2,1,6,2,3,1,8,2,8,2, ,3,6,99,99,99,99,99,99, , ,99,99,99,99, , , , , , , , ,99,5,99,99,99,99,99,99,99,99,1,1,2,1,1,3,3,3,2, , ,2, , , ,2,1,2,2, , ,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,99,1,2,2,2,4,7,99,3, , , , ,98,98,98,98,98,98,98,1.246051118,2.259005138,0.842360144
2021010037,19,7,3,2,6,12,2,6,1,2,1,5,8,3,1,8,2,8,2, ,3,5,3,3,2,2,1,2, , ,1,2,2,1,1,1,0,0,0,0,0,0,2,4,6,5,3,3,3,2,3,2,1,2,2,1,3,2,2,3,1,3,1,2,1,2,2,2,1,2,2, , ,2,2,2,3,2,1,1,2,1,2,1,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,7,1,2,2,2,3,6,5,2,2,1,2, ,1,3,1,98,1,1,2,1.444803463,0.457766871,1.411434373
2021010038,21,5,3,2,4,10,1,7,2,2,2,1,8,3,1,2,2,1,1, ,1,5,7,7,3,3,2,1,2,1, ,2,1,1,0,0,1,0,0,0,0,0,2,5,1,5,1,1,2,5,2,4,1,1,2,3,1,3,3,3,2, , ,1,1,2,2,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,2,1,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,2,1,2,2,2,7,5,6,3, , , , ,1,3,2,99,1,1,2,0.846938555,0.617474239,0.715978162
2021010039,14,3,2,1,6,6,1,6,4,1,3,5,5,2,1,8,2, ,2, , ,2,7,6,3,3,1,1, , ,1,2,2,1,1,0,1,0,0,1,0,0,2,5,5,4,3,2,2,3,3,3,1,1,2,3,2,3,3,2,2, , ,1,2,2,2,1,2, , , , ,2,2,1,3,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,2,1,2,1,2,7,6,5,1, , , , ,1,3,2,3,2,1,2,1.344484511,1.296632072,0.963239244
2021010040,26,4,2,2,4,10,1,6,1,2,1,2,7,3,1,2,2,2,1, ,1,5,4,2,1,2,2,1,1,2, ,2,1,1,0,0,1,0,0,0,0,0,2,5,5,4,3,3,3,2,2,2,1,1,2,2,1,3,3,3,1,3,1,2,1,2,2,2,1,1,2,2,1,2,2,1,4,2,1,2,1,2,2,2,2,0,0,1,0,0,0,0,0,2,1,2,1,1,1,1,1,2,5,1,2,2,2,3,5,3,2,1,1,2, ,1,3,2,98,3,1,98,0.373392786,1.435215262,0.768164864
2021010041,6,8,4,1,6,6,1,5,1,2,1,6,4,3,1,8,2,8,2,2,1,4,10,7,1,3,1,1, , ,2,2,1,1,1,0,1,0,0,0,0,0,2,5,1,4,1,1,1,4,4,4,1,1,2,2,1,2,3,3,1,3,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,2,2,6,6,6,3, , , , ,1,1,2,1,98,1,2,0.490781865,2.101959174,0.957637442
2021010042,44,7,3,1,6,6,1,6,1,2,1,5,5,3,1,8,2,8,2, ,3,6,7,5,2,3,1,1, , ,1,2,1,1,1,0,0,0,0,0,0,0,2,5,5,3,2,2,2,3,2,4,1,1,2,3,3,3,3,2,1,3,2,1,2,2,2,1,1,2,2, , ,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,2,2,7,6,6,2,2,1,2, ,1,3,2,2,3,1,2,1.301951085,2.574447379,1.013442864
